Author,Title,Citations,Venue,Source,cit/year,Title（日本語）
" de Vos, H Tilg, M Van Hul, PD Cani",Gut microbiome and health: Mechanistic insights,150,Gut,https://gut.bmj.com/content/71/5/1020.abstract,150,腸内マイクロビオームと健康：機械的洞察
"Gacesa, A Kurilshikov, A Vich Vila, T Sinha…",Environmental factors shaping the gut microbiome in a Dutch population,63,Nature,https://www.nature.com/articles/s41586-022-04567-7,63,オランダの人口における腸内微生物叢を形作る環境要因
"Zhang, Y Wan, T Zuo, YK Yeoh, Q Liu, L Zhang…",Prolonged impairment of short-chain fatty acid and l-isoleucine biosynthesis in gut microbiome in patients with COVID-19,63,Gastroenterology,https://www.sciencedirect.com/science/article/pii/S0016508521036507,63,Covid-19の患者における腸内微生物叢における短鎖脂肪酸とL-イソロイシン生合成の長期障害
"Vijay, AM Valdes",Role of the gut microbiome in chronic diseases: A narrative review,51,European Journal of Clinical Nutrition,https://www.nature.com/articles/s41430-021-00991-6,51,慢性疾患における腸内微生物叢の役割：物語のレビュー
" Lee, AM Thomas, LA Bolte, JR Björk…",Cross-cohort gut microbiome associations with immune checkpoint inhibitor response in advanced melanoma,49,Nature medicine,https://www.nature.com/articles/s41591-022-01695-5,49,進行性黒色腫における免疫チェックポイント阻害剤反応とのクロスコホート腸内微生物叢の関連
"Qi, J Li, B Yu, JY Moon, JC Chai, J Merino, J Hu…","Host and gut microbial tryptophan metabolism and type 2 diabetes: An integrative analysis of host genetics, diet, gut microbiome and circulating metabolites in cohort …",42,Gut,https://gut.bmj.com/content/71/6/1095.abstract,42,宿主と腸の微生物トリプトファン代謝と2型糖尿病：コホートの宿主遺伝学、食事、腸内微生物叢、循環代謝物の統合分析…
"Sun, ZG Song, C Liu, S Tan, S Lin, J Zhu, FH Dai…",Gut microbiome alterations and gut barrier dysfunction are associated with host immune homeostasis in COVID-19 patients,37,BMC medicine,https://link.springer.com/article/10.1186/s12916-021-02212-0,37,腸内微生物叢の変化と腸のバリア機能障害は、Covid-19患者の宿主免疫恒常性に関連しています
Loper,"Effect of host genetics on the gut microbiome in 7,738 participants of the Dutch Microbiome Project",36,Nature …,https://www.nature.com/articles/s41588-021-00992-y,36,"オランダの微生物叢プロジェクトの7,738人の参加者における腸内微生物叢に対する宿主遺伝学の効果"
"Chen, X Dai, CC Zhou, K Li, Y Zhang, XY Lou…",Integrated analysis of the faecal metagenome and serum metabolome reveals the role of gut microbiome-associated metabolites in the detection of colorectal …,33,Gut,https://gut.bmj.com/content/71/7/1315.abstract,33,糞便メタゲノムと血清メタボロームの統合分析は、結腸直腸の検出における腸内マイクロバイオーム関連代謝産物の役割を明らかにしています…
Di Marzo,The endocannabinoidome as a substrate for noneuphoric phytocannabinoid action and gut microbiome dysfunction in neuropsychiatric disorders,33,Dialogues in clinical neuroscience,https://www.tandfonline.com/doi/full/10.31887/DCNS.2020.22.3/vdimarzo,33,神経精神障害における非流動植物カンナビノイド作用および腸内微生物膜機能障害の基質としてのエンドカンナビノイド症
"Smith, A Dai, G Ghilardi, KV Amelsberg, SM Devlin…",Gut microbiome correlates of response and toxicity following anti-CD19 CAR T cell therapy,31,Nature Medicine,https://www.nature.com/articles/s41591-022-01702-9,31,腸内微生物叢は、抗CD19 CAR T細胞療法後の反応と毒性の相関があります
" Mills, PS Dulai, Y Vázque",Multi-omics analyses of the ulcerative colitis gut microbiome link Bacteroides vulgatus proteases with disease severity,31,Nature …,https://www.nature.com/articles/s41564-021-01050-3,31,潰瘍性大腸炎腸炎微生物叢のマルチオミクス分析は、バクテロイデスvulgatusプロテアーゼと疾患の重症度を結びます
" Bell, RJ Rebernick, J Goyert, R Singhal, M Kuljanin…",Reuterin in the healthy gut microbiome suppresses colorectal cancer growth through altering redox balance,29,Cancer cell,https://www.sciencedirect.com/science/article/pii/S1535610821006139,29,健康な腸内微生物叢のロテリンは、酸化還元バランスを変えることにより結腸直腸癌の成長を抑制します
"Liu, X Tong, Y Zou, X Lin, H Zhao, L Tian, Z Jie…",Mendelian randomization analyses support causal relationships between blood metabolites and the gut microbiome,27,Nature …,https://www.nature.com/articles/s41588-021-00968-y,27,メンデルのランダム化分析は、血液代謝産物と腸内微生物叢との因果関係をサポートしています
" Sorboni, HS Moghaddam…",A comprehensive review on the role of the gut microbiome in human neurological disorders,26,Clinical Microbiology …,https://journals.asm.org/doi/abs/10.1128/CMR.00338-20,26,ヒト神経障害における腸内ミクロビオームの役割に関する包括的なレビュー
"Reyman, MA Van Houten, RL Watson…",Effects of early-life antibiotics on the developing infant gut microbiome and resistome: a randomized trial,26,Nature …,https://www.nature.com/articles/s41467-022-28525-z,26,発達中の乳児腸内マイクロビオームとレジスタームに対する幼少期の抗生物質の影響：無作為化試験
" Toh, CW Chong, SY Lim, J Bowman…",Gut microbiome in Parkinson's disease: New insights from meta-analysis,24,Parkinsonism & Related …,https://www.sciencedirect.com/science/article/pii/S1353802021004211,24,パーキンソン病における腸内微生物叢：メタ分析からの新しい洞察
" Schupack, RAT Mars, DH Voelker…",The promise of the gut microbiome as part of individualized treatment strategies,21,Nature Reviews …,https://www.nature.com/articles/s41575-021-00499-1,21,個別の治療戦略の一部としての腸内微生物叢の約束
"Tarallo, G Ferrero, F De Filippis, A Francavilla…",Stool microRNA profiles reflect different dietary and gut microbiome patterns in healthy individuals,21,Gut,https://gut.bmj.com/content/71/7/1302.abstract,21,スツールmicroRNAプロファイルは、健康な人のさまざまな食事性と腸内マイクロビオームパターンを反映しています
" Wardman, RK Bains, P Rahfeld…",Carbohydrate-active enzymes (CAZymes) in the gut microbiome,20,Nature Reviews …,https://www.nature.com/articles/s41579-022-00712-1,20,腸内微生物叢の炭水化物活性酵素（カザイム）
" Richards, J Li, BR Stevens, CJ Pepine…",Gut microbiome and neuroinflammation in hypertension,18,Circulation …,https://www.ahajournals.org/doi/abs/10.1161/CIRCRESAHA.121.319816,18,高血圧における腸内ミクロビオームと神経炎症
"McCarthy, M Barrett, S Kirthi, P Pellanda…",Altered skin and gut microbiome in hidradenitis suppurativa,18,Journal of investigative …,https://www.sciencedirect.com/science/article/pii/S0022202X21016572,18,皮膚と腸内微生物叢の変化した微生物叢suspurativa
"Kim, HK Lee",Potential role of the gut microbiome in colorectal cancer progression,16,Frontiers in immunology,https://www.frontiersin.org/articles/10.3389/fimmu.2021.807648/full,16,結腸直腸癌の進行における腸内微生物叢の潜在的な役割
Eckl,Dietary selection pressures and their impact on the gut microbiome,14,Cellular and molecular …,https://www.sciencedirect.com/science/article/pii/S2352345X21001545,14,食事の選択の圧力と腸内微生物叢への影響
" Baky, M Elshahed, L Wessjohann…",Interactions between dietary flavonoids and the gut microbiome: a comprehensive review,14,British Journal of …,https://www.cambridge.org/core/journals/british-journal-of-nutrition/article/interactions-between-dietary-flavonoids-and-the-gut-microbiome-a-comprehensive-review/1E2CB10A973E0BBF2FB6AE384A4B84E1,14,食事性フラボノイドと腸内ミクロビオームとの相互作用：包括的なレビュー
"R Induri, P Kansara, SC Thomas, F Xu…","The gut microbiome, metformin, and aging",14,Annual review of …,https://www.annualreviews.org/doi/abs/10.1146/annurev-pharmtox-051920-093829,14,腸内微生物叢、メトホルミン、および老化
" Park, C Rao, KZ Coyte, GA Kuziel, Y Zhang…",Strain-level fitness in the gut microbiome is an emergent property of glycans and a single metabolite,14,Cell,https://www.sciencedirect.com/science/article/pii/S0092867422000022,14,腸内マイクロビオームの株レベルのフィットネスは、グリカンと単一の代謝物の緊急特性です
"Sanna, A Kurilshikov, A van der Graaf, J Fu…",Challenges and future directions for studying effects of host genetics on the gut microbiome,14,Nature …,https://www.nature.com/articles/s41588-021-00983-z,14,腸内微生物叢に対する宿主遺伝学の効果を研究するための課題と将来の方向
" Trakman, S Fehily, C Basnayake…",Diet and gut microbiome in gastrointestinal disease,12,Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1111/jgh.15728,12,胃腸疾患における食事と腸内微生物叢
"Cotillard, A Cartie",A posteriori dietary patterns better explain variations of the gut microbiome than individual markers in the American Gut Project,11,… American journal of …,https://academic.oup.com/ajcn/article-abstract/115/2/432/6382985,11,事後の食事パターンは、アメリカの腸プロジェクトの個々のマーカーよりも腸内微生物叢のバリエーションをよりよく説明します
"Lubomski, X Xu, AJ Holmes, JYH Yang, CM Sue…",The impact of device-assisted therapies on the gut microbiome in Parkinson's disease,11,Journal of …,https://link.springer.com/article/10.1007/s00415-021-10657-9,11,パーキンソン病の腸内微生物叢に対するデバイス支援療法の影響
"Zhao, L Yang, Y Guo, J Xiao, J Zhang…",New insights into stroke prevention and treatment: gut microbiome,11,Cellular and Molecular …,https://link.springer.com/article/10.1007/s10571-021-01047-w,11,脳卒中の予防と治療に関する新しい洞察：腸内微生物叢
"Xu, W Zhang, M Guo, C Xiao, Z Fu, S Yu, L Jiang…",Integrated analysis of gut microbiome and host immune responses in COVID-19,11,Frontiers of …,https://link.springer.com/article/10.1007/s11684-022-0921-6,11,Covid-19の腸内微生物叢と宿主免疫応答の統合分析
"Wang, Z Xie",Exploring the role of gut microbiome in male reproduction,10,Andrology,https://onlinelibrary.wiley.com/doi/abs/10.1111/andr.13143,10,男性の生殖における腸内微生物叢の役割の調査
"Zhou, R Baumann, X Gao, M Mendoza, S Singh…",Gut microbiome of multiple sclerosis patients and paired household healthy controls reveal associations with disease risk and course,10,Cell,https://www.sciencedirect.com/science/article/pii/S0092867422011151,10,多発性硬化症患者とペアの家庭の健康なコントロールの腸内微生物叢
" Barandouzi, J Lee, M del Carmen Rosas, J Chen…",Associations of neurotransmitters and the gut microbiome with emotional distress in mixed type of irritable bowel syndrome,10,Scientific Reports,https://www.nature.com/articles/s41598-022-05756-0,10,混合されたタイプの過敏性腸症候群における感情的苦痛との神経伝達物質と腸内微生物叢との関連
"Liu, G Méric, AS Havulinna, SM Teo, F Åberg…",Early prediction of incident liver disease using conventional risk factors and gut-microbiome-augmented gradient boosting,10,Cell Metabolism,https://www.sciencedirect.com/science/article/pii/S1550413122000900,10,従来の危険因子と腸炎の繁殖勾配勾配ブーストを使用した事件肝疾患の早期予測
" Kwan, J Jiao, A Joon, P Wei, LE Petty…","Gut microbiome features associated with liver fibrosis in Hispanics, a population at high risk for fatty liver disease",10,…,https://aasldpubs.onlinelibrary.wiley.com/doi/abs/10.1002/hep.32197,10,腸内微生物叢は、ヒスパニックの肝臓線維症に関連する特徴、脂肪肝疾患のリスクが高い集団である
" Shi, B Dimitrov, C Zhao, S Nayfach…",Fast and accurate metagenotyping of the human gut microbiome with GT-Pro,9,Nature …,https://www.nature.com/articles/s41587-021-01102-3,9,GT-Proを使用したヒト腸内微生物叢の高速かつ正確なメタゲノタイピング
" Trevelline, KD Kohl",The gut microbiome influences host diet selection behavior,9,Proceedings of the National …,https://www.pnas.org/doi/abs/10.1073/pnas.2117537119,9,腸内マイクロビオームは、宿主の食事選択行動に影響します
" Luna, GM Quero, F Kokou, K Kormas",Time to integrate biotechnological approaches into fish gut microbiome research,9,Current Opinion in …,https://www.sciencedirect.com/science/article/pii/S0958166921001300,9,バイオテクノロジーアプローチを魚の腸内マイクロバイオーム研究に統合する時間
" Tolonen, N Beauchemin, C Bayne, L Li…",Synthetic glycans control gut microbiome structure and mitigate colitis in mice,9,Nature …,https://www.nature.com/articles/s41467-022-28856-x,9,合成グリカンは、マウスの腸内微生物叢構造と緩和大腸炎を制御する
" Olm, D Dahan, MM Carter, BD Merrill, FB Yu…",Robust variation in infant gut microbiome assembly across a spectrum of lifestyles,9,Science,https://www.science.org/doi/abs/10.1126/science.abj2972,9,さまざまなライフスタイル全体にわたる乳児腸内マイクロビオームアセンブリの堅牢な変動
"Cabral, GF Persinoti, DAA Paixão, MP Martins…",Gut microbiome of the largest living rodent harbors unprecedented enzymatic systems to degrade plant polysaccharides,8,Nature …,https://www.nature.com/articles/s41467-022-28310-y,8,最大の生きているげっ歯類の腸内微生物叢は、植物多糖類を分解するための前例のない酵素系を港湾にしています
"Scuderi, E Troiani, AM Minnella",Gut microbiome in retina health: the crucial role of the gut-retina axis,8,Frontiers in Microbiology,https://www.frontiersin.org/articles/10.3389/fmicb.2021.726792/full,8,網膜健康における腸内微生物叢：腸網膜軸の重要な役割
" Chen, NR Garud",Rapid evolution and strain turnover in the infant gut microbiome,8,Genome Research,https://genome.cshlp.org/content/early/2022/05/11/gr.276306.121.abstract,8,乳児腸内微生物叢における急速な進化とひずみ回転率
" Woodall, LJ McGeoch, AD Hay, A Hammond",Respiratory tract infections and gut microbiome modifications: A systematic review,8,PloS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0262057,8,呼吸器感染症と腸内ミクロビオームの修飾：系統的レビュー
" Dekkers, S Sayol",An online atlas of human plasma metabolite signatures of gut microbiome composition,7,Nature …,https://www.nature.com/articles/s41467-022-33050-0,7,腸内マイクロバイオーム組成のヒト血漿代謝産物署名のオンラインアトラス
"Rudolph, D Schneider, C Fichtel…",Drivers of gut microbiome variation within and between groups of a wild Malagasy primate,7,…,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-021-01223-6,7,野生のマラガシー霊長類のグループ内およびグループ間の腸内マイクロバイオーム変動のドライバー
"Nagata, S Nishijima, T Miyosh",Population-level metagenomics uncovers distinct effects of multiple medications on the human gut microbiome,7,Gastroenterology,https://www.sciencedirect.com/science/article/pii/S0016508522007326,7,人口レベルのメタゲノミクスは、人間の腸内微生物叢に対する複数の薬物の明確な効果を明らかにします
"Privitera, N Rana, F Scaldaferri, A Armuzzi…","Novel insights into the interactions between the gut microbiome, inflammasomes, and gasdermins during colorectal cancer",6,Frontiers in Cellular …,https://www.frontiersin.org/articles/10.3389/fcimb.2021.806680/full,6,結腸直腸癌中の腸内ミクロビオーム、インフラマソーム、ガスダーミンの間の相互作用に関する新しい洞察
" Rastall, M Die",Structure and function of non-digestible carbohydrates in the gut microbiome,6,Beneficial …,https://www.wageningenacademic.com/doi/abs/10.3920/BM2021.0090,6,腸内微生物叢における非消化不可能な炭水化物の構造と機能
"Bellais, M Nehlich, M Ania…",Species-targeted sorting and cultivation of commensal bacteria from the gut microbiome using flow cytometry under anaerobic conditions,6,…,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-021-01206-7,6,嫌気性条件下でのフローサイトメトリーを使用して、腸内マイクロバイオームからの種を標的としたソーティングと栽培菌の栽培
"Amir, O Ere",Gut microbiome development in early childhood is affected by day care attendance,6,npj Biofilms and …,https://www.nature.com/articles/s41522-021-00265-w,6,幼児期の腸内ミクロビオームの発達は、デイケアの出席の影響を受けます
" Howard, TKT Lam, FA Duca","The Gut Microbiome: Connecting Diet, Glucose Homeostasis, and Disease",6,Annual review of medicine,https://www.annualreviews.org/doi/abs/10.1146/annurev-med-042220-012821,6,腸内微生物叢：食事、グルコース恒常性、病気の接続
" Yu, G Agirman, EY Hsiao",The gut microbiome as a regulator of the neuroimmune landscape,6,Annual Review of Immunology,https://www.annualreviews.org/doi/abs/10.1146/annurev-immunol-101320-014237,6,神経免疫のある景観の調節因子としての腸内微生物叢
" Davies, SF Worsley, KH Maher, J Komdeur, T Burke…",Immunogenetic variation shapes the gut microbiome in a natural vertebrate population,5,Microbiome,https://link.springer.com/article/10.1186/s40168-022-01233-y,5,免疫遺伝子変動は、天然脊椎動物集団の腸内微生物叢を形作ります
" Le, MT Lee, KR Besler, J Comrie…",Characterization of interactions of dietary cholesterol with the murine and human gut microbiome,5,Nature Microbiology,https://www.nature.com/articles/s41564-022-01195-9,5,食事性コレステロールとマウスおよびヒト腸内微生物叢の相互作用の特性評価
"Leung, X Long, Y Ni, L Qian, E Nychas…",Risk assessment with gut microbiome and metabolite markers in NAFLD development,4,Science Translational …,https://www.science.org/doi/abs/10.1126/scitranslmed.abk0855,4,NAFLD開発における腸内ミクロビオームおよび代謝物マーカーによるリスク評価
"Enav, F Bäckhed, RE Ley",The developing infant gut microbiome: A strain-level view,4,Cell Host & Microbe,https://www.sciencedirect.com/science/article/pii/S1931312822002153,4,発達中の乳児腸内微生物叢：ひずみレベルのビュー
"Lanthier, N Delzenne",Targeting the Gut Microbiome to Treat Metabolic Dysfunction-Associated Fatty Liver Disease: Ready for Prime Time?,4,Cells,https://www.mdpi.com/1806046,4,代謝機能障害関連脂肪肝疾患を治療するために腸内微生物叢を標的とする：プライムタイムの準備はできていますか？
"J Blyton, RM Soo, P Hugenholtz…",Characterization of the juvenile koala gut microbiome across wild populations,4,Environmental …,https://sfamjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.15884,4,野生集団全体の幼虫のコアラ腸内微生物叢の特性
"P van Heck, R Gacesa, R Stienstra, J Fu…",The gut microbiome composition is altered in long-standing type 1 diabetes and associates with glycemic control and disease-related complications,4,Diabetes …,https://diabetesjournals.org/care/article-abstract/45/9/2084/147146,4,腸内ミクロビオームの組成は、長年の1型糖尿病で変化し、血糖コントロールと疾患関連の合併症に関連しています
" Mahmud, S Akter, SK Tamanna, L Mazumder…",Impact of gut microbiome on skin health: Gut-skin axis observed through the lenses of therapeutics and skin diseases,3,Gut …,https://www.tandfonline.com/doi/abs/10.1080/19490976.2022.2096995,3,皮膚の健康に対する腸内微生物叢の影響：治療薬と皮膚疾患のレンズを通して観察される腸皮軸軸
"Chou, S Zhang, H Guo, Y Chang, W Zhao…",Targeted antimicrobial agents as potential tools for modulating the gut microbiome,3,Frontiers in …,https://www.frontiersin.org/articles/10.3389/fmicb.2022.879207/pdf,3,腸内微生物叢を調節するための潜在的なツールとして標的抗菌剤
" Lugli, G Longhi, L Mancabelli…",Tap water as a natural vehicle for microorganisms shaping the human gut microbiome,3,Environmental …,https://sfamjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.15988,3,人間の腸内微生物叢を形作る微生物の天然の媒体としての水道水
"Xu, FZ Marques","How Dietary fibre, acting via the gut microbiome, lowers blood pressure",3,Current Hypertension Reports,https://link.springer.com/article/10.1007/s11906-022-01216-2,3,腸内微生物叢を介して作用する食物繊維が血圧を下げる方法
"Gorczyca, A Obuchowska, Ż Kimbe",Changes in the Gut Microbiome and Pathologies in Pregnancy,3,International Journal of …,https://www.mdpi.com/1660-4601/19/16/9961,3,妊娠中の腸内微生物叢と病理の変化
"Tarawneh, E Penhos",The gut microbiome and Alzheimer's disease: Complex and bidirectional interactions,3,Neuroscience & Biobehavioral Reviews,https://www.sciencedirect.com/science/article/pii/S0149763422003037,3,腸内ミクロビオームとアルツハイマー病：複雑で双方向の相互作用
" Chakaroun, LM Olsson, F Bäckhed",The potential of tailoring the gut microbiome to prevent and treat cardiometabolic disease,3,Nature Reviews Cardiology,https://www.nature.com/articles/s41569-022-00771-0,3,心臓代謝疾患を予防および治療するために腸内微生物叢を調整する可能性
" Wallen, A Demirkan, G Twa, G Cohen…",Metagenomics of Parkinson's disease implicates the gut microbiome in multiple disease mechanisms,3,Nature …,https://www.nature.com/articles/s41467-022-34667-x,3,パーキンソン病のメタゲノミクスは、複数の疾患メカニズムにおいて腸内微生物叢に関係しています
"Liu, Y Baba, T Ishimoto, X Gu, J Zhang…",Gut microbiome in gastrointestinal cancer: a friend or foe?,2,International Journal of …,https://www.ijbs.com/v18p4101.htm,2,胃腸がんの腸内微生物叢：友人または敵？
"Shankaranarayanan, DS Raj",Gut microbiome and kidney disease: reconciling optimism and skepticism,2,… Journal of the American Society of …,https://cjasn.asnjournals.org/content/clinjasn/early/2022/07/06/CJN.04480422.full-text.pdf,2,腸内微生物叢と腎臓病：楽観主義と懐疑論の調整
"Deluce, S Maleki Vareki…",The role of gut microbiome in immune modulation in metastatic renal cell carcinoma,2,… Advances in Medical …,https://journals.sagepub.com/doi/abs/10.1177/17588359221122714,2,転移性腎細胞癌における免疫調節における腸内微生物叢の役割
" Jin, XP Liu, X Le Roux, QF Bi, KJ Li, CY Wu…",Biochar addition regulates soil and earthworm gut microbiome and multifunctionality,2,Soil Biology and …,https://www.sciencedirect.com/science/article/pii/S003807172200267X,2,バイオチャーの添加により、土壌とミミズの腸内微生物叢と多機能性が調節されます
"Hoffman, Z Brownell, WJ Doyle…",The immunomodulatory roles of the gut microbiome in autoimmune diseases of the central nervous system: Multiple sclerosis as a model,2,Journal of …,https://www.sciencedirect.com/science/article/pii/S0896841122001652,2,中枢神経系の自己免疫疾患における腸内微生物叢の免疫調節の役割：モデルとしての多発性硬化症
"Siddiqui, Z Makhlouf, NA Khan",The increasing importance of the gut microbiome in acne vulgaris,2,Folia Microbiologica,https://link.springer.com/article/10.1007/s12223-022-00982-5,2,にきびの腸内微生物叢の重要性の増加
"Fan, J Chen, L Pan, X Xin, B Geng…","Alterations of Gut Microbiome, Metabolome, and Lipidome in Takayasu Arteritis",2,Arthritis & …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.42331,2,高山動脈炎における腸内微生物叢、メタボローム、リピドームの変化
"Leviatan, S Shoer, D Rothschild…",An expanded reference map of the human gut microbiome reveals hundreds of previously unknown species,2,Nature …,https://www.nature.com/articles/s41467-022-31502-1,2,ヒト腸内微生物叢の拡張された参照マップは、以前に未知の数百種を明らかにします
" Schell, KE Fernandes, E Shanahan…",The potential of honey as a prebiotic food to re-engineer the gut microbiome toward a healthy state,2,Frontiers in …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9367972/,2,健康な状態に向かって腸内微生物叢を再設計するプレバイオティクス食品としての蜂蜜の可能性
" Mohr, P Jasbi, KB Vander Wyst, I van Woerden…",Association of food insecurity on gut microbiome and metabolome profiles in a diverse college-based sample,2,Scientific reports,https://www.nature.com/articles/s41598-022-18515-y,2,多様な大学ベースのサンプルにおける腸内ミクロビオームとメタボロームプロファイルに関する食品不安定性の関連性
" Elsayed, P Aston, VR Bayanagari…",The gut microbiome molecular mimicry piece in the multiple sclerosis puzzle,2,Frontiers in …,https://www.frontiersin.org/articles/10.3389/fimmu.2022.972160/full,2,多発性硬化症パズルの腸内マイクロバイオーム分子模倣ピース
"Liu, HCH Lau, WY Cheng, J Yu",Gut microbiome in colorectal cancer: Clinical diagnosis and treatment,2,Genomics  Proteomics & Bioinformatics,https://www.sciencedirect.com/science/article/pii/S1672022922000869,2,結腸直腸癌における腸内微生物叢：臨床診断と治療
"Chen, SE Rudolph, BN Longo, F Pace…",Bioengineered 3D tissue model of intestine epithelium with oxygen gradients to sustain human gut microbiome,2,Advanced …,https://onlinelibrary.wiley.com/doi/abs/10.1002/adhm.202200447,2,ヒト腸内微生物叢を維持するために、酸素勾配を備えた腸上皮のバイオエンジニアリング3D組織モデル
" Bongers, R Chanderraj, RJ Woods…",The gut microbiome modulates body temperature both in sepsis and health,2,American Journal of …,https://www.atsjournals.org/doi/abs/10.1164/rccm.202201-0161OC,2,腸内微生物叢は、敗血症と健康の両方で体温を調節します
"FitzGerald, S Patel, J Eckenberger, E Guillemard…",Improved gut microbiome recovery following drug therapy is linked to abundance and replication of probiotic strains,2,Gut …,https://www.tandfonline.com/doi/abs/10.1080/19490976.2022.2094664,2,薬物療法後の腸内微生物叢の回復の改善は、プロバイオティクス株の豊富さと複製に関連しています
" Kumar, S Hogue, J Po",Effects of Green Tea Catechins on Prostate Cancer Chemoprevention: The Role of the Gut Microbiome,2,Cancers,https://www.mdpi.com/1782486,2,前立腺癌化学予防に対する緑茶カテキンの影響：腸内微生物叢の役割
" Brumfield, MJ Raupp, D Haji, C Simon, J Graf…","Gut microbiome insights from 16S rRNA analysis of 17-year periodical cicadas (Hemiptera: Magicicada spp.) Broods II, VI, and X",1,Scientific Reports,https://www.nature.com/articles/s41598-022-20527-7,1,17年の定期的なCICADA（半emi目：Magicicada spp。）BROODS II、VI、およびXの16S RRNA分析からの腸内微生物叢の洞察
" O'Brien, O O'Sullivan, MJ Claesson, PD Cotter",The athlete gut microbiome and its relevance to health and performance: a review,1,Sports Medicine,https://link.springer.com/article/10.1007/s40279-022-01785-x,1,アスリート腸内微生物叢とその健康とパフォーマンスとの関連性：レビュー
"Yang, LY Hung, Y Zhu, S Ding…",Material engineering in gut microbiome and human health,1,…,https://downloads.spj.sciencemag.org/research/2022/9804014.pdf,1,腸内微生物叢と人間の健康における材料工学
Zhang,Influence of Foods and Nutrition on the Gut Microbiome and Implications for Intestinal Health,1,International Journal of Molecular Sciences,https://www.mdpi.com/1792618,1,腸内微生物叢に対する食物と栄養の影響と腸の健康への影響
"Clever, JM Sourisse, RF Preziosi, JA Eisen…",The gut microbiome variability of a butterflyfish increases on severely degraded Caribbean reefs,1,Communications …,https://www.nature.com/articles/s42003-022-03679-0,1,蝶の微生物膜の変動性は、重度の劣化したカリブのサンゴ礁で増加します
" West, X Yin, EM Rutherford, B Wee, J Choi…",Multi-angle meta-analysis of the gut microbiome in Autism Spectrum Disorder: a step toward understanding patient subgroups,1,Scientific Reports,https://www.nature.com/articles/s41598-022-21327-9,1,自閉症スペクトラム障害における腸内微生物叢のマルチアングルメタ分析：患者サブグループを理解するためのステップ
"Zhang, W Zhang, C Feng, LY Kwok, Q He…",Stronger gut microbiome modulatory effects by postbiotics than probiotics in a mouse colitis model,1,npj Science of Food,https://www.nature.com/articles/s41538-022-00169-9,1,マウス大腸炎モデルのプロバイオティクスよりも、ポストバイオティクスによるより強い腸内微生物変調効果
" Peng, Y Sun, S Xiao, J Chen, X Zhou…","… of Polymer Size on Polystyrene Biodegradation in Mealworms (Tenebrio molitor): Responses of Depolymerization Pattern, Gut Microbiome, and Metabolome to …",1,Environmental …,https://pubs.acs.org/doi/abs/10.1021/acs.est.2c06260,1,…食事虫（Tenebrio Molitor）のポリスチレン生分解のポリマーサイズ：脱重度パターン、腸内微生物叢、およびメタボロームの応答…
"Bi, L Feng, J He, C Liu, Y Wang, H Jiang…",Emerging insights between gut microbiome dysbiosis and Parkinson's disease: Pathogenic and clinical relevance,1,Ageing Research …,https://www.sciencedirect.com/science/article/pii/S156816372200201X,1,腸内微生物叢の分散症とパーキンソン病の間の新たな洞察：病原性および臨床的関連性
" Koblinsky, KA Power, L Middleton…",The role of the gut microbiome in diet and exercise effects on cognition: A review of the intervention literature,1,The Journals of …,https://academic.oup.com/biomedgerontology/advance-article/doi/10.1093/gerona/glac166/6670844?itm_medium=sidebar&itm_source=trendmd-widget&itm_campaign=The_Journals_of_Gerontology%253A_Series_A&itm_content=The_Journals_of_Gerontology%253A_Series_A_0,1,食事と運動における腸内ミクロビオームの役割認識への影響：介入文献のレビュー
"Wilmes, C Marti",The gut microbiome molecular complex in human health and disease,1,Cell Host & Microbe,https://www.sciencedirect.com/science/article/pii/S1931312822004152,1,人間の健康と病気における腸内微生物分子複合体