Author,Title,Citations,Year,Venue,Source,cit/year,
" David, CF Maurice, RN Carmody, DB Gootenberg…",Diet rapidly and reproducibly alters the human gut microbiome,8089,2014,Nature,https://www.nature.com/articles/nature12820?source=p5814,899,食事は迅速かつ再現性があり、ヒト腸内微生物叢を変化させます
" Turnbaugh, RE Ley, MA Mahowald, V Magrini…",An obesity-associated gut microbiome with increased capacity for energy harvest,12097,2006,nature,https://www.nature.com/articles/nature05414/?source=post_elevate_sequence_page---------------------------,712,エネルギー収穫の能力が向上した肥満関連腸内微生物叢
"Yatsunenko, FE Rey, MJ Manary, I Trehan…",Human gut microbiome viewed across age and geography,6961,2012,nature,https://www.nature.com/articles/nature11053,633,年齢と地理で見られるヒト腸内微生物叢
" Turnbaugh, M Hamady, T Yatsunenko, BL Cantarel…",A core gut microbiome in obese and lean twins,8231,2009,nature,https://www.nature.com/articles/nature07540?s?s%3Fs%3Fs%3Fs,588,肥満と無駄のない双子のコア腸内微生物叢
"Arumugam, J Raes, E Pelletier, D Le Paslier…",Enterotypes of the human gut microbiome,6853,2011,nature,https://www.nature.com/articles/nature09944/amp/,571,ヒト腸内微生物叢の腸型
"Bäckhed, J Roswall, Y Peng, Q Feng, H Jia…",Dynamics and stabilization of the human gut microbiome during the first year of life,2683,2015,Cell host & …,https://www.sciencedirect.com/science/article/pii/S1931312815001626,335,人生の最初の年の間に人間の腸内微生物叢のダイナミクスと安定化
" Gill, M Pop, RT DeBoy, PB Eckburg, PJ Turnbaugh…",Metagenomic analysis of the human distal gut microbiome,5181,2006,science,https://www.science.org/doi/abs/10.1126/science.1124234,305,ヒト遠位腸内微生物叢のメタゲノム分析
" Goodrich, JL Waters, AC Poole, JL Sutter, O Koren…",Human genetics shape the gut microbiome,2604,2014,Cell,https://www.sciencedirect.com/science/article/pii/S0092867414012410,289,人間の遺伝学は腸内微生物叢を形作ります
"Falony, M Joossens, S Vieir",Population-level analysis of gut microbiome variation,1684,2016,Science,https://www.science.org/doi/abs/10.1126/science.aad3503,241,腸内マイクロビオームの変動の人口レベルの分析
" Kau, PP Ahern, NW Griffin, AL Goodman, JI Gordon","Human nutrition, the gut microbiome and the immune system",2614,2011,Nature,https://www.nature.com/articles/nature10213,218,人間の栄養、腸内微生物叢、免疫系
" Franzosa, A Sirot",Gut microbiome structure and metabolic activity in inflammatory bowel disease,844,2019,Nature …,https://www.nature.com/articles/s41564-018-0306-4,211,炎症性腸疾患における腸内ミクロビオーム構造と代謝活性
Cani,"Human gut microbiome: hopes, threats and promises",972,2018,Gut,https://gut.bmj.com/content/67/9/1716?aff=68,194,人間の腸内微生物叢：希望、脅威、約束
" Vogt, RL Kerby, KA Dil",Gut microbiome alterations in Alzheimer's disease,1102,2017,Scientific reports,https://www.nature.com/articles/s41598-017-13601-y,184,アルツハイマー病の腸内ミクロビオームの変化
" Shreiner, JY Kao, VB Young",The gut microbiome in health and in disease,1378,2015,Current opinion in …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290017/,172,健康と病気における腸内微生物叢
" Cryan, KJ O'Riordan, K Sandhu, V Peterson…",The gut microbiome in neurological disorders,475,2020,The Lancet …,https://www.sciencedirect.com/science/article/pii/S1474442219303564,158,神経障害における腸内微生物叢
" Martin, V Osadchiy, A Kalani, EA Mayer",The brain-gut-microbiome axis,750,2018,Cellular and molecular …,https://www.sciencedirect.com/science/article/pii/S2352345X18300602,150,脳腸腸菌軸
"Jie, H Xia, SL Zhong, Q Feng, S Li, S Liang…",The gut microbiome in atherosclerotic cardiovascular disease,870,2017,Nature …,https://www.nature.com/articles/s41467-017-00900-1,145,アテローム性動脈硬化性心血管疾患における腸内微生物叢
"Halfvarson, CJ Brislawn, R Lamendella…",Dynamics of the human gut microbiome in inflammatory bowel disease,828,2017,Nature …,https://www.nature.com/articles/nmicrobiol20174,138,炎症性腸疾患におけるヒト腸内微生物叢のダイナミクス
"Sharon, TR Sampson, DH Geschwind…",The central nervous system and the gut microbiome,950,2016,Cell,https://www.sciencedirect.com/science/article/pii/S0092867416314477,136,中枢神経系と腸内微生物叢
" Kho, SK Lal",The human gut microbiome–a potential controller of wellness and disease,663,2018,Frontiers in microbiology,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01835/full?fbclid=IwAR2qj2BrDLCeNaXCi4R-zM8bWzv3KlIwpUJHNDLDuiPaM7eulfaIsKNCdBk,133,ヒト腸内マイクロビオーム - ウェルネスと病気の潜在的なコントローラー
"Jangi, R Gandhi, LM Cox, N Li, F Von Glehn…",Alterations of the human gut microbiome in multiple sclerosis,919,2016,Nature …,https://www.nature.com/articles/ncomms12015,131,多発性硬化症におけるヒト腸内微生物叢の変化
" Hills Jr, BA Pontefract, HR Mishcon, CA Black…",Gut microbiome: profound implications for diet and disease,518,2019,Nutrients,https://www.mdpi.com/497588,130,腸内微生物叢：食事と病気に対する深い影響
"Spor, O Koren, R Ley",Unravelling the effects of the environment and host genotype on the gut microbiome,1516,2011,Nature Reviews Microbiology,https://www.nature.com/articles/nrmicro2540?message=remove&lang=en,126,腸内微生物叢に対する環境と宿主の遺伝子型の影響を解明する
"Imhann, MJ Bonder, AV Vila, J Fu, Z Mujagic, L Vork…",Proton pump inhibitors affect the gut microbiome,862,2016,Gut,https://gut.bmj.com/content/65/5/740.short,123,プロトンポンプ阻害剤は、腸内微生物叢に影響を与えます
"Durack, SV Lynch",The gut microbiome: relationships with disease and opportunities for therapy,481,2019,Journal of Experimental Medicine,https://rupress.org/jem/article-abstract/216/1/20/42456,120,腸内微生物叢：病気との関係と治療の機会
" Goodrich, ER Davenport, M Beaumont…",Genetic determinants of the gut microbiome in UK twins,816,2016,Cell host & …,https://www.sciencedirect.com/science/article/pii/S1931312816301536,117,英国の双子の腸内微生物叢の遺伝的決定因子
"Schirmer, SP Smeekens, H Vlamakis, M Jaeger…",Linking the human gut microbiome to inflammatory cytokine production capacity,796,2016,Cell,https://www.sciencedirect.com/science/article/pii/S0092867416314039,114,ヒト腸内微生物叢を炎症性サイトカイン生産能力にリンクする
" Ridlon, DJ Kang, PB Hylemon…",Bile acids and the gut microbiome,974,2014,Current opinion in …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4215539/,108,胆汁酸と腸内微生物叢
"B Schmidt, J Raes, P Bork",The human gut microbiome: from association to modulation,529,2018,Cell,https://www.sciencedirect.com/science/article/pii/S0092867418302216,106,ヒト腸内微生物叢：関連から変調まで
"Jovel, LA Dieleman, D Kao, AL Mason, E Wine",The human gut microbiome in health and disease,500,2018,Metagenomics,https://www.sciencedirect.com/science/article/pii/B9780081022689000100,100,健康と病気におけるヒト腸内微生物叢
" Lagier, F Armougom, M Million, P Hugon…",Microbial culturomics: paradigm shift in the human gut microbiome study,1064,2012,Clinical Microbiology …,https://www.sciencedirect.com/science/article/pii/S1198743X14608041,97,微生物培養：ヒト腸内微生物叢研究のパラダイムシフト
"Castaner, A Goday, YM Park, SH Lee…",The gut microbiome profile in obesity: a systematic review,481,2018,International journal of …,https://www.hindawi.com/journals/ije/2018/4095789/,96,肥満における腸内ミクロビオームプロファイル：系統的レビュー
"Vangay, AJ Johnson, TL Ward, GA A",US immigration westernizes the human gut microbiome,450,2018,Cell,https://www.sciencedirect.com/science/article/pii/S0092867418313825,90,米国移民は、人間の腸内微生物叢を西洋化します
"Visconti, CI Le Roy, F Rosa, N Rossi…",Interplay between the human gut microbiome and host metabolism,344,2019,Nature …,https://www.nature.com/articles/s41467-019-12476-z).,86,ヒト腸内微生物叢と宿主代謝の相互作用
" Bonder, A Kurilshikov, EF Tigchelaar, Z Mujagic…",The effect of host genetics on the gut microbiome,594,2016,Nature …,https://www.nature.com/articles/ng.3663,85,腸内微生物叢に対する宿主遺伝学の効果
"Ahn, R Sinha, Z Pei, C Dominianni…",Human gut microbiome and risk for colorectal cancer,826,2013,Journal of the …,https://academic.oup.com/jnci/article-abstract/105/24/1907/2517573,83,ヒト腸内微生物叢と結腸直腸癌のリスク
"Schloissnig, M Arumugam, S Sunagawa, M Mitreva…",Genomic variation landscape of the human gut microbiome,822,2013,Nature,https://www.nature.com/articles/nature11711,82,ヒト腸内微生物叢のゲノム変動景観
"Tilg, A Kaser","Gut microbiome, obesity, and metabolic dysfunction",961,2011,The Journal of clinical investigation,https://www.jci.org/articles/view/58109,80,腸内微生物叢、肥満、および代謝機能障害
Heint,Human gut microbiome: function matters,401,2018,Trends in microbiology,https://www.sciencedirect.com/science/article/pii/S0966842X17302512,80,ヒト腸内微生物叢：機能が重要です
" Weersma, A Zhernakova, J Fu",Interaction between drugs and the gut microbiome,239,2020,Gut,https://gut.bmj.com/content/69/8/1510.abstract,80,薬物と腸内微生物叢との相互作用
" Turnbaugh, JI Gordon","The core gut microbiome, energy balance and obesity",1095,2009,The Journal of physiology,https://physoc.onlinelibrary.wiley.com/doi/abs/10.1113/jphysiol.2009.174136,78,コア腸内微生物叢、エネルギーバランス、肥満
"Dabke, G Hendrick, S Devkota",The gut microbiome and metabolic syndrome,312,2019,The Journal of clinical …,https://www.jci.org/articles/view/129194,78,腸内微生物叢とメタボリックシンドローム
"Salem, A Ramser, N Isham…",The gut microbiome as a major regulator of the gut-skin axis,375,2018,Frontiers in microbiology,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01459/full?fbclid=IwAR3uim7TNrsWH28dPGEFnZg2sNWAXP1ZSqcK9LERa-3ZoAqk6-fHTGhDcVU,75,腸皮軸の主要な調節因子としての腸内微生物叢
"Kundu, E Blacher, E Elinav, S Pettersson",Our gut microbiome: the evolving inner self,441,2017,Cell,https://www.sciencedirect.com/science/article/pii/S0092867417313715,74,私たちの腸内微生物叢：進化する内なる自己
"Tropini, KA Earle, KC Huang, JL Sonnenburg",The gut microbiome: connecting spatial organization to function,409,2017,Cell host & microbe,https://www.sciencedirect.com/science/article/pii/S1931312817301208,68,腸内マイクロバイオーム：空間組織を機能させる
"Tremlett, KC Bauer, S Appel‐Cresswell…",The gut microbiome in human neurological disease: a review,411,2017,Annals of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/ana.24901,68,ヒト神経疾患における腸内微生物叢：レビュー
Galland,The gut microbiome and the brain,612,2014,Journal of medicinal food,https://www.liebertpub.com/doi/abs/10.1089/jmf.2014.7000,68,腸内微生物叢と脳
" Hall, AC Tolonen, RJ Xavier",Human genetic variation and the gut microbiome in disease,394,2017,Nature Reviews Genetics,https://www.nature.com/articles/nrg.2017.63,66,疾患におけるヒトの遺伝的変異と腸内微生物叢
"Gacesa, A Kurilshikov, A Vich Vila, T Sinha…",Environmental factors shaping the gut microbiome in a Dutch population,63,2022,Nature,https://www.nature.com/articles/s41586-022-04567-7,63,オランダの人口における腸内微生物叢を形作る環境要因
"Ghaisas, J Maher, A Kanthasamy",Gut microbiome in health and disease: Linking the microbiome–gut–brain axis and environmental factors in the pathogenesis of systemic and neurodegenerative …,437,2016,Pharmacology & therapeutics,https://www.sciencedirect.com/science/article/pii/S0163725815002259,62,健康と病気における腸内微生物叢：全身性および神経変性の病因におけるミクロビオーム - 腸内脳軸と環境因子をリンクします…
"Walter, R Ley",The human gut microbiome: ecology and recent evolutionary changes,710,2011,,https://digitalcommons.unl.edu/foodsciefacpub/369/,59,ヒト腸内微生物叢：生態学と最近の進化の変化
" Zackular, NT Baxter, KD Iverson, WD Sadler…",The gut microbiome modulates colon tumorigenesis,567,2013,MBio,https://journals.asm.org/doi/abs/10.1128/mbio.00692-13,57,腸内微生物叢は、結腸腫瘍形成を調節します
"Tilg, PD Cani, EA Mayer",Gut microbiome and liver diseases,400,2016,Gut,https://gut.bmj.com/content/65/12/2035.short,57,腸内微生物叢および肝臓病
" Kinross, AW Darzi…",Gut microbiome-host interactions in health and disease,668,2011,Genome …,https://genomemedicine.biomedcentral.com/articles/10.1186/gm228,56,健康と病気における腸内ミクロビオームと宿主の相互作用
"Sharma, P Tripathi",Gut microbiome and type 2 diabetes: where we are and where to go?,225,2019,The Journal of nutritional biochemistry,https://www.sciencedirect.com/science/article/pii/S0955286318303073,56,腸内微生物叢と2型糖尿病：私たちはどこにいて、どこに行くべきか？
"D'Argenio, F Salvatore",The role of the gut microbiome in the healthy adult status,438,2015,Clinica chimica acta,https://www.sciencedirect.com/science/article/pii/S0009898115000170,55,健康な成人の状態における腸内微生物叢の役割
" Wilson, KR Koller, MC Ramaboli…",Diet and the human gut microbiome: an international review,160,2020,Digestive diseases and …,https://link.springer.com/article/10.1007/s10620-020-06112-w,53,食事と人間の腸内微生物叢：国際的なレビュー
"Xu, R Knight",Dietary effects on human gut microbiome diversity,410,2015,British Journal of Nutrition,https://www.cambridge.org/core/journals/british-journal-of-nutrition/article/dietary-effects-on-human-gut-microbiome-diversity/E9B592DB4E5C570C6D5142B99CE74D3E,51,人間の腸内微生物叢の多様性に対する食事の影響
"Shanahan, TS Ghosh, PW O'Toole",The healthy microbiome—what is the definition of a healthy gut microbiome?,102,2021,Gastroenterology,https://www.sciencedirect.com/science/article/pii/S0016508520355086,51,健康な微生物叢 - 健康な腸内微生物叢の定義は何ですか？
"Allaband, D McDonald, Y Vázque","Microbiome 101: studying, analyzing, and interpreting gut microbiome data for clinicians",197,2019,Clinical …,https://www.sciencedirect.com/science/article/pii/S1542356518310085,49,Microbiome101：臨床医の腸内マイクロビオームデータの研究、分析、解釈
" Zackular, MAM Rogers, MT Ruffin IV…",The human gut microbiome as a screening tool for colorectal cancer,422,2014,Cancer prevention …,https://aacrjournals.org/cancerpreventionresearch/article-abstract/7/11/1112/50234,47,結腸直腸癌のスクリーニングツールとしてのヒト腸内微生物叢
" Mohajeri, G La Fata, RE Steinert…",Relationship between the gut microbiome and brain function,236,2018,Nutrition …,https://academic.oup.com/nutritionreviews/article-abstract/76/7/481/4985887,47,腸内微生物叢と脳機能の関係
" Tseng, CY Wu",The gut microbiome in obesity,183,2019,Journal of the Formosan Medical Association,https://www.sciencedirect.com/science/article/pii/S0929664618304376,46,肥満の腸内微生物叢
Davis,The gut microbiome and its role in obesity,319,2016,Nutrition today,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5082693/,46,腸内微生物叢と肥満におけるその役割
" John, GE Mullin",The gut microbiome and obesity,306,2016,Current oncology reports,https://link.springer.com/article/10.1007/s11912-016-0528-7,44,腸内微生物叢と肥満
"Yan, Y Gu, X Li, W Yang, L Jia, C Chen…",Alterations of the gut microbiome in hypertension,261,2017,Frontiers in cellular …,https://www.frontiersin.org/articles/10.3389/fcimb.2017.00381/full,44,高血圧における腸内微生物叢の変化
"Winter, RA Hart, RPG Charlesworth…",Gut microbiome and depression: what we know and what we need to know,218,2018,Reviews in the …,https://www.degruyter.com/document/doi/10.1515/revneuro-2017-0072/html,44,腸内ミクロビオームとうつ病：私たちが知っていることと私たちが知る必要があること
" Moore, SD Townsend",Temporal development of the infant gut microbiome,164,2019,Open biology,https://royalsocietypublishing.org/doi/abs/10.1098/rsob.190128,41,乳児腸内微生物叢の時間的発達
" Cresci, E Bawden",Gut microbiome: what we do and don't know,322,2015,Nutrition in Clinical Practice,https://aspenjournals.onlinelibrary.wiley.com/doi/abs/10.1177/0884533615609899,40,腸内マイクロビオーム：私たちがしていて、知らないこと
" Hollister, K Riehle, RA Luna…",Structure and function of the healthy pre-adolescent pediatric gut microbiome,324,2015,…,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-015-0101-x,40,健康な思春期の小児腸内微生物叢の構造と機能
" Gritz, V Bhandari",The human neonatal gut microbiome: a brief review,305,2015,Frontiers in pediatrics,https://www.frontiersin.org/articles/10.3389/fped.2015.00017/full,38,ヒト新生児腸内微生物叢：簡単なレビュー
" Cani, NM Delzenne",The gut microbiome as therapeutic target,452,2011,Pharmacology & therapeutics,https://www.sciencedirect.com/science/article/pii/S0163725811000362,38,治療標的としての腸内微生物叢
"Kurilshikov, C Wijmenga, J Fu, A Zhernakova",Host genetics and gut microbiome: challenges and perspectives,225,2017,Trends in immunology,https://www.sciencedirect.com/science/article/pii/S1471490617301060,38,宿主の遺伝学と腸内微生物叢：課題と視点
"Dave, PD Higgins, S Middha, KP Rioux","The human gut microbiome: current knowledge, challenges, and future directions",378,2012,Translational Research,https://www.sciencedirect.com/science/article/pii/S1931524412001624,34,人間の腸内微生物叢：現在の知識、課題、将来の方向
"Salazar, L Valdé",Nutrition and the gut microbiome in the elderly,200,2017,Gut …,https://www.tandfonline.com/doi/abs/10.1080/19490976.2016.1256525,33,高齢者の栄養と腸内微生物叢
" Mulle, WG Sharp, JF Cubells",The gut microbiome: a new frontier in autism research,332,2013,Current psychiatry reports,https://link.springer.com/article/10.1007/s11920-012-0337-0,33,腸内微生物叢：自閉症研究の新しいフロンティア
"Nallu, S Sharma, A Ramezani, J Muralidharan…",Gut microbiome in chronic kidney disease: challenges and opportunities,193,2017,Translational …,https://www.sciencedirect.com/science/article/pii/S1931524416300330,32,慢性腎臓病における腸内微生物叢：課題と機会
"Zhu, W Liu, R Alkhouri, RD Baker…",Structural changes in the gut microbiome of constipated patients,266,2014,Physiological …,https://journals.physiology.org/doi/abs/10.1152/physiolgenomics.00082.2014,30,便秘患者の腸内微生物叢の構造変化
"Iizumi, T Battaglia, V Ruiz, GIP Perez",Gut microbiome and antibiotics,162,2017,Archives of medical research,https://www.sciencedirect.com/science/article/pii/S0188440917302333,27,腸内微生物叢と抗生物質
"Mazidi, P Rezaie, AP Kengne, MG Mobarhan…",Gut microbiome and metabolic syndrome,181,2016,Diabetes & Metabolic …,https://www.sciencedirect.com/science/article/pii/S1871402115300679,26,腸内微生物叢とメタボリックシンドローム
"Vandeputte, RY Tito, R Vanleeuwen…",Practical considerations for large-scale gut microbiome studies,154,2017,FEMS microbiology …,https://academic.oup.com/femsre/article-abstract/41/Supplement_1/S154/3902998,26,大規模な腸内マイクロビオーム研究のための実用的な考慮事項
"Sherwin, K Rea, TG Dinan…",A gut (microbiome) feeling about the brain,185,2016,Current opinion in …,https://journals.lww.com/co-gastroenterology/FullText/2016/03000/A_gut__microbiome__feeling_about_the_brain.7.aspx,26,脳についての腸（微生物叢）の感覚
"Zhuang, L Cheng, Y Wang, YK Zhang…",Dysbiosis of the gut microbiome in lung cancer,98,2019,Frontiers in cellular …,https://www.frontiersin.org/articles/10.3389/fcimb.2019.00112/full,24,肺がんにおける腸内微生物叢の異常症
"H Blum, S Zechmeiste",Does soil contribute to the human gut microbiome?,92,2019,Microorganisms,https://www.mdpi.com/520646,23,土壌は人間の腸内微生物叢に寄与していますか？
" Arnold, J Roach, MA Azcarat",Emerging technologies for gut microbiome research,158,2016,Trends in microbiology,https://www.sciencedirect.com/science/article/pii/S0966842X16300713,23,腸内マイクロバイオーム研究のための新しい技術
" Knox, JD Forbes, G Van Domselaar…",The gut microbiome as a target for IBD treatment: are we there yet?,92,2019,… treatment options in …,https://link.springer.com/article/10.1007/s11938-019-00221-w,23,IBD治療の標的としての腸内微生物叢：私たちはまだそこにいますか？
"Ahmadmehrabi, WHW Tang",Gut microbiome and its role in cardiovascular diseases,133,2017,Current opinion in cardiology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5746314/,22,腸内微生物叢と心血管疾患におけるその役割
"W Tang, SL Hazen",The gut microbiome and its role in cardiovascular diseases,127,2017,Circulation,https://www.ahajournals.org/doi/abs/10.1161/circulationaha.116.024251,21,腸内微生物叢と心血管疾患におけるその役割
"Magnúsdóttir, I Thiele",Modeling metabolism of the human gut microbiome,106,2018,Current opinion in biotechnology,https://www.sciencedirect.com/science/article/pii/S095816691730201X,21,ヒト腸内微生物叢の代謝のモデリング
"Fukuda, H Ohno",Gut microbiome and metabolic diseases,174,2014,Seminars in immunopathology,https://link.springer.com/article/10.1007/s00281-013-0399-z,19,腸内微生物叢と代謝疾患
"Venema, P Van den Abbeele",Experimental models of the gut microbiome,191,2013,Best Practice & Research Clinical …,https://www.sciencedirect.com/science/article/pii/S1521691813000565,19,腸内微生物叢の実験モデル
" Wu, JD Lewis",Analysis of the human gut microbiome and association with disease,154,2013,Clinical Gastroenterology and Hepatology,https://www.cghjournal.org/article/S1542-3565(13)00596-X/abstract,15,ヒト腸内微生物叢の分析と病気との関連
"Yoshida, T Yamashita, K Hirata",Gut microbiome and cardiovascular diseases,73,2018,Diseases,https://www.mdpi.com/310528,15,腸内微生物叢および心血管疾患
" Kinross, AC von Roon, E Holmes, A Darzi…",The human gut microbiome: implications for future health care,185,2008,Current …,https://link.springer.com/article/10.1007/s11894-008-0075-y,12,人間の腸内微生物叢：将来のヘルスケアへの影響
"Sidhu, D van der Poorten",The gut microbiome,68,2017,Australian family physician,https://search.informit.org/doi/abs/10.3316/informit.741870194405168,11,腸内微生物叢
Brody,The gut microbiome.,30,2020,Nature,https://go.gale.com/ps/i.do?id=GALE%7CA660675579&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00280836&p=AONE&sw=w,10,腸内微生物叢。
"Arumugam, J Raes, E Pelletier, D Le Paslier…",Addendum: Enterotypes of the human gut microbiome,85,2014,Nature,https://www.nature.com/articles/nature13075,9,補遺：ヒト腸内微生物叢の腸型
"M Cresci, K Izzo",Gut microbiome,31,2019,Adult short bowel syndrome,https://www.sciencedirect.com/science/article/pii/B9780128143308000044,8,腸内微生物叢
" Siezen, M Kleerebezem",The human gut microbiome: are we our enterotypes?,89,2011,Microbial biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3819005/,7,ヒト腸内微生物叢：私たちはエンテロタイプですか？
" Singh, HW Chang, DI Yan…",Influence of diet on the gut microbiome and implications for human health,1772,0,,https://translational-medicine.biomedcentral.com/articles/10.1186/s12967-017-1175-y,1,腸内微生物叢に対する食事の影響と人間の健康への影響